index,velocity,filtered
0,0,0
1,0,0
2,0,0
134,0,690013,0
135,0,7745449,0
136,0,6216129,0
137,0,8178943,0
138,0,6010609,0
139,0,6001788,0
140,0,4764694,0
141,0,5220512,0
142,0,404459,0
143,0,4242855,0
144,0,344052,0
145,0,4052789,0
146,0,3416196,0
147,0,4076393,0
148,0,3538141,0
149,0,4215674,0
150,0,3667643,0
151,0,4704492,0
152,0,4531111,0
153,0,4840957,0
154,0,4371245,0
155,0,500467,0
156,0,4665075,0
157,0,3644474,0
158,0,3495774,0
159,0,2916215,0
160,0,2550623,0
161,0,1222458,0
162,0,09707779,0
163,0,2118706,0
164,0,1492275,0
165,0,1467839,0
166,0,1194055,0
167,0,1933846,0
168,0,1546148,0
169,0,1541031,0
170,0,1264257,0
171,0,1523756,0
172,0,131502,0
173,0,2950394,0
174,0,2357273,0
175,0,3689281,0
176,0,2859897,0
177,0,2602963,0
178,0,2230681,0
179,0,5211225,0
180,0,4010408,0
181,1,096568,0
182,0,8815676,0
183,0,6991032,0
184,0,7780369,0
185,0,8408345,0
186,0,6852827,0
187,0,5908056,0
188,0,4411,0
189,0,3670088,0
190,0,2823314,0
191,0,2218854,0
192,0,1940208,0
193,0,1410579,0
194,0,1645182,0
195,0,4594582,0
196,0,3710967,0
197,0,4921341,0
198,0,3793048,0
199,0,3060084,0
200,0,380634,0
201,0,3129863,0
202,0,3490121,0
203,0,2188566,0
204,0,1951661,0
205,0,1678029,0
206,0,09952374,0
207,0,0991111,0
208,0,2517011,0
209,0,2123448,0
210,0,287052,0
211,0,2381241,0
212,0,2453342,0
213,0,246187,0
214,0,1863421,0
215,0,2182312,0
216,0,28309,0
217,0,2843827,0
218,0,5520387,0
219,0,5042039,0
220,0,6491473,0
221,0,5484098,0
222,0,6482145,0
223,0,6363815,0
224,0,767908,0
225,0,7010459,0
226,0,8129826,0
227,0,7195,0
228,0,7411878,0
229,0,5939965,0
230,0,6718035,0
231,0,660151,0
232,0,7111599,0
233,0,703045,0
234,0,9174477,0
235,0,8294429,0
236,0,7958375,0
237,0,689611,0
238,0,6108815,0
239,0,4782031,0
240,0,5312598,0
241,0,5101581,0
242,0,5296625,0
243,0,4665319,0
244,0,4222486,0
245,0,3739657,0
246,0,4476718,0
247,0,3857768,0
248,0,5423346,0
249,0,3896383,0
250,0,3477239,0
251,0,2409081,0
252,0,2167719,0
253,0,1468615,0
254,0,1614925,0
255,0,1214936,0
256,0,1757062,0
257,0,1275687,0
258,0,2003291,0
259,0,1790917,0
260,0,2356732,0
261,0,2134873,0
262,0,2424606,0
263,0,2207495,0
264,0,6325136,0
265,0,5451627,0
266,0,4678508,0
267,0,4037285,0
268,0,4620544,0
269,0,3472708,0
270,0,2613465,0
271,0,1922356,0
272,0,2140687,0
273,0,2107615,0
274,0,3721063,0
275,0,3259363,0
276,0,2518644,0
277,0,2240655,0
278,0,4233333,0
279,0,3712326,0
280,0,7810239,0
281,0,7087466,0
282,1,20176,0
283,1,091018,0
284,1,725141,0
285,1,43691,0
286,2,396651,0
287,1,765277,0
288,3,230601,0
289,2,399092,0
290,4,34109,0
291,3,487332,0
292,5,013856,0
293,4,41566,0
294,6,050236,0
295,5,77921,0
296,5,444111,0
297,5,012174,0
298,5,629447,0
299,4,596694,0
300,5,69032,0
301,4,682571,0
302,5,155679,0
303,4,218748,0
304,4,592022,0
305,3,874456,0
306,3,701859,0
307,3,203724,0
308,2,912953,0
309,2,554756,0
310,2,077221,0
311,1,815367,0
312,1,504488,0
313,1,181124,0
314,0,5769196,0
315,0,5146481,0
316,0,6737634,0
317,0,5684947,0
318,1,566826,0
319,1,276691,0
320,2,095834,0
321,2,032233,0
322,2,725412,0
323,2,722682,0
324,3,320937,0
325,3,068024,0
326,3,849197,0
327,3,376225,0
328,3,834774,0
329,3,403882,0
330,3,836057,0
331,3,310058,0
332,3,487658,0
333,2,845674,0
334,2,597982,0
335,2,454809,0
336,2,193216,0
337,2,002192,0
338,1,797464,0
339,1,667373,0
340,1,293868,0
341,1,221793,0
342,0,972056,0
343,0,8776117,0
344,0,845773,0
345,0,6488307,0
346,0,5245876,0
347,0,5184926,0
348,0,3956469,0
349,0,4445393,0
350,0,5070888,0
351,0,3649146,0
352,0,3130193,0
353,0,3193228,0
354,0,2448984,0
355,0,3816377,0
356,0,281003,0
357,0,5120022,0
358,0,3669495,0
359,0,414456,0
360,0,3410168,0
361,0,2913976,0
362,0,219038,0
363,0,2726589,0
364,0,2253666,0
365,0,2520137,0
366,0,2360533,0
367,0,4781721,0
368,0,4222681,0
369,0,9229404,0
370,0,8090312,0
371,1,156378,0
372,0,9663134,0
373,1,355733,0
374,1,25309,0
375,1,379183,0
376,1,213956,0
377,1,820356,0
378,1,383868,0
379,1,664398,0
380,1,465914,0
381,1,53054,0
382,1,369241,0
383,1,378125,0
384,1,200423,0
385,1,156629,0
386,1,074627,0
387,1,097756,0
388,0,9622136,0
389,1,046494,0
390,0,8755082,0
391,0,9748361,0
392,0,8843078,0
393,0,7759349,0
394,0,7544716,0
395,0,6979834,0
396,0,6682707,0
397,0,4776752,0
398,0,4449078,0
399,0,410081,0
400,0,3082944,0
401,0,334572,0
402,0,2398428,0
403,0,2499501,0
404,0,1999605,0
405,0,1906056,0
406,0,1500586,0
407,0,1362677,0
408,0,1118204,0
409,0,1191491,0
410,0,1147235,0
411,0,1263988,0
412,0,09884576,0
413,0,1732513,0
414,0,1058294,0
415,0,4214052,0
416,0,2747786,0
417,0,3676735,0
418,0,2597325,0
419,0,4972624,0
420,0,3200843,0
421,0,3772657,0
422,0,2428295,0
423,0,2399133,0
424,0,1807227,0
425,0,1724374,0
426,0,1473189,0
427,0,4814748,0
428,0,4386363,0
429,0,650843,0
430,0,5470342,0
431,1,023341,0
432,0,8603635,0
433,1,897052,0
434,1,60336,0
435,2,659824,0
436,2,24419,0
437,3,34639,0
438,2,789518,0
439,4,218056,0
440,3,641096,0
441,5,363853,0
442,4,959646,0
443,5,903691,0
444,5,724433,0
445,5,714225,0
446,5,130072,0
447,5,876983,0
448,4,655374,0
449,5,568524,0
450,4,905333,0
451,5,182838,0
452,4,466401,0
453,5,005579,0
454,4,095621,0
455,4,597581,0
456,3,776295,0
457,3,809856,0
458,3,047975,0
459,2,82466,0
460,2,43003,0
461,2,182521,0
462,1,999108,0
463,1,403841,0
464,1,346974,0
465,0,6899317,0
466,0,6687682,0
467,0,2638615,0
468,0,2653991,0
469,1,059208,0
470,0,9287155,0
471,0,8474362,0
472,2,228541,0
473,3,644083,0
474,3,023489,0
475,4,748275,0
476,3,878621,0
477,5,409857,0
478,4,484074,0
479,5,590595,0
480,5,336461,0
481,5,616626,0
482,5,059814,0
483,4,275666,0
484,5,293288,0
485,4,034827,0
486,4,824353,0
487,3,911867,0
488,4,303327,0
489,3,805483,0
490,3,807326,0
491,3,373626,0
492,3,380338,0
493,2,723433,0
494,2,67732,0
495,2,382099,0
496,2,226767,0
497,2,059769,0
498,2,200084,0
499,1,923848,0
500,1,951297,0
